"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.107003910E-1,6.496603730E1,2.561378430E1,1.889323106E1,3.639999771E1,NaN,NaN,0.000000000E0,5.602000046E1,1.000000000E0,0.000000000E0
1.610534009E0,6.496603730E1,2.561378430E1,-1.750676665E1,0.000000000E0,0.000000000E0,0.000000000E0,1.031273906E-2,5.602000046E1,1.000000000E0,2.000000000E0
3.041460415E0,6.496601617E1,2.561399771E1,1.331544956E1,3.082226562E1,1.070000052E0,6.059999847E1,1.206677378E-2,6.492341518E0,1.077493763E1,0.000000000E0
4.041341769E0,6.496602275E1,2.561403159E1,1.690578323E1,3.441259766E1,8.000000119E-1,2.420000076E1,1.310171359E-2,4.336436272E0,4.538446903E0,3.000000000E1
5.041935883E0,6.496601697E1,2.561401435E1,1.764113163E1,3.514794922E1,1.700000018E-1,2.420000076E1,1.468534762E-2,4.337385654E0,2.901013136E0,3.400000000E1
6.044850310E0,6.496601291E1,2.561404661E1,1.284498076E1,3.035180664E1,1.220000029E0,4.100000000E1,1.635691348E-2,3.790092468E0,2.500000000E0,3.700000000E1
6.755300049E0,6.496602536E1,2.561406652E1,1.287941375E1,3.038623047E1,1.460000038E0,4.009999847E1,1.725798430E-2,3.790092468E0,2.500000000E0,5.700000000E1
7.755398851E0,6.496603304E1,2.561407263E1,1.231093880E1,2.981774902E1,1.570000052E0,2.220000076E1,1.850990875E-2,3.790092468E0,2.500000000E0,6.700000000E1
8.755623277E0,6.496604364E1,2.561408156E1,1.184189253E1,2.934869385E1,1.570000052E0,2.270000076E1,1.980612542E-2,3.790092468E0,2.500000000E0,6.800000000E1
9.755209267E0,6.496605428E1,2.561409283E1,1.129093679E1,2.879772949E1,1.470000029E0,2.270000076E1,2.119222339E-2,3.790092468E0,2.500000000E0,6.900000000E1
1.075605333E1,6.496606562E1,2.561410507E1,1.125408070E1,2.876086426E1,1.509999990E0,2.250000000E1,2.412453726E-2,3.790092468E0,2.500000000E0,5.100000000E1
1.175577458E1,6.496608984E1,2.561412973E1,1.146754040E1,2.897430420E1,1.519999981E0,2.229999924E1,2.582716175E-2,3.790092468E0,2.500000000E0,6.900000000E1
1.275576557E1,6.496610412E1,2.561414279E1,1.163838965E1,2.914514160E1,1.590000033E0,2.179999924E1,2.748758817E-2,3.790092468E0,2.500000000E0,6.800000000E1
1.375595088E1,6.496611796E1,2.561415604E1,1.155118181E1,2.905792236E1,1.570000052E0,2.120000076E1,2.897782288E-2,3.790092468E0,2.500000000E0,6.700000000E1
1.475606078E1,6.496613061E1,2.561416650E1,1.144633406E1,2.895306396E1,1.549999952E0,2.110000038E1,3.058421295E-2,3.790092468E0,2.500000000E0,6.800000000E1
1.575568312E1,6.496614403E1,2.561417914E1,1.128783684E1,2.879455566E1,1.570000052E0,2.300000000E1,3.227221396E-2,3.790092468E0,2.500000000E0,6.800000000E1
1.675530635E1,6.496615787E1,2.561419388E1,1.129096083E1,2.879766846E1,1.559999943E0,2.189999962E1,3.386338905E-2,3.790092468E0,2.500000000E0,6.800000000E1
1.775605801E1,6.496617133E1,2.561420536E1,1.115126264E1,2.865795898E1,1.570000052E0,2.039999962E1,3.546726945E-2,3.790092468E0,2.500000000E0,6.700000000E1
1.875560588E1,6.496618460E1,2.561421872E1,1.119967437E1,2.870635986E1,1.590000033E0,2.500000000E1,3.709038434E-2,3.790092468E0,2.500000000E0,6.800000000E1
1.975537473E1,6.496619628E1,2.561423941E1,1.136435554E1,2.887103271E1,1.519999981E0,3.459999847E1,3.866141228E-2,3.790092468E0,2.500000000E0,6.900000000E1
2.075542692E1,6.496620448E1,2.561426660E1,1.123484304E1,2.874151611E1,1.529999971E0,5.600000000E1,4.028270643E-2,3.790092468E0,2.500000000E0,5.000000000E1
2.175606390E1,6.496620357E1,2.561430099E1,1.098129743E1,2.848797607E1,1.539999962E0,8.959999847E1,4.189787453E-2,3.790092468E0,2.500000000E0,7.000000000E1
2.275603812E1,6.496619772E1,2.561433241E1,1.112276703E1,2.862945557E1,1.539999962E0,1.075999985E2,4.365877866E-2,3.790092468E0,2.500000000E0,7.000000000E1
2.375574786E1,6.496619128E1,2.561436660E1,1.109486313E1,2.860156250E1,1.590000033E0,1.120000000E2,4.531706890E-2,3.790092468E0,2.500000000E0,7.000000000E1
2.475539051E1,6.496618647E1,2.561439996E1,1.134009322E1,2.884680176E1,1.559999943E0,1.105000000E2,4.695352791E-2,3.790092468E0,2.500000000E0,7.000000000E1
2.575571712E1,6.496618112E1,2.561443236E1,1.136815985E1,2.887487793E1,1.570000052E0,1.114000015E2,4.851629083E-2,3.790092468E0,2.500000000E0,7.000000000E1
2.675532973E1,6.496617528E1,2.561446257E1,1.148039379E1,2.898712158E1,1.570000052E0,1.150999985E2,5.009200399E-2,3.790092468E0,2.500000000E0,7.000000000E1
2.775585738E1,6.496616906E1,2.561449266E1,1.142410931E1,2.893084717E1,1.549999952E0,1.148000031E2,5.162864919E-2,3.790092468E0,2.500000000E0,7.000000000E1
2.875568166E1,6.496616235E1,2.561452121E1,1.129372790E1,2.880047607E1,1.580000043E0,1.161999969E2,5.318397469E-2,3.790092468E0,2.500000000E0,7.000000000E1
2.975581692E1,6.496615547E1,2.561454999E1,1.112068272E1,2.862744141E1,1.570000052E0,1.161999969E2,5.475037178E-2,3.790092468E0,2.500000000E0,7.000000000E1
3.075562655E1,6.496614895E1,2.561457950E1,1.092847274E1,2.843524170E1,1.600000024E0,1.173000031E2,5.631446454E-2,3.790092468E0,2.500000000E0,5.100000000E1
3.175510598E1,6.496614299E1,2.561460961E1,1.079796976E1,2.830474854E1,1.549999952E0,1.153000031E2,5.788031335E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.275526176E1,6.496613773E1,2.561464048E1,1.082792877E1,2.833471680E1,1.519999981E0,1.125999985E2,5.940908392E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.375575894E1,6.496613280E1,2.561467081E1,1.072098631E1,2.822778320E1,1.539999962E0,1.125000000E2,6.090302478E-2,3.790092468E0,2.500000000E0,2.200000000E1
3.475581754E1,6.496612834E1,2.561470076E1,1.081631486E1,2.832312012E1,1.539999962E0,1.124000015E2,6.239067571E-2,3.790092468E0,2.500000000E0,2.100000000E1
3.575584207E1,6.496612462E1,2.561473113E1,1.083351906E1,2.834033203E1,1.539999962E0,1.145000000E2,6.394064294E-2,3.790092468E0,2.500000000E0,4.600000000E1
3.675549426E1,6.496612046E1,2.561476257E1,1.064656010E1,2.815338135E1,1.529999971E0,1.106999969E2,6.546312002E-2,3.790092468E0,2.500000000E0,5.000000000E1
3.775606384E1,6.496611549E1,2.561479272E1,1.071826753E1,2.822509766E1,1.539999962E0,1.130000000E2,6.700457325E-2,3.790092468E0,2.500000000E0,5.100000000E1
3.875566957E1,6.496611024E1,2.561482304E1,1.051415680E1,2.802099609E1,1.539999962E0,1.153000031E2,6.860178416E-2,3.790092468E0,2.500000000E0,5.100000000E1
3.975529806E1,6.496610494E1,2.561485459E1,1.035624947E1,2.786309814E1,1.600000024E0,1.161999969E2,7.017344719E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.075536066E1,6.496609891E1,2.561488480E1,1.056607844E1,2.807293701E1,1.570000052E0,1.136999969E2,7.179151939E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.175595566E1,6.496609316E1,2.561491639E1,1.062325856E1,2.813012695E1,1.590000033E0,1.144000015E2,7.327125782E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.275571285E1,6.496608856E1,2.561494590E1,1.065150940E1,2.815838623E1,1.559999943E0,1.115999985E2,7.473769688E-2,3.790092468E0,2.500000000E0,5.200000000E1
4.375516154E1,6.496608353E1,2.561497471E1,1.055958170E1,2.806646729E1,1.519999981E0,1.129000015E2,7.632020487E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.475599233E1,6.496607768E1,2.561500537E1,1.046881264E1,2.797570801E1,1.570000052E0,1.156999969E2,7.801158537E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.575581311E1,6.496607223E1,2.561503893E1,1.031554356E1,2.782244873E1,1.600000024E0,1.125000000E2,7.971142339E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.675555649E1,6.496606655E1,2.561507247E1,1.022453012E1,2.773144531E1,1.580000043E0,1.128000031E2,8.137425440E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.775585258E1,6.496606109E1,2.561510537E1,1.030234022E1,2.780926514E1,1.580000043E0,1.115000000E2,8.298388355E-2,3.790092468E0,2.500000000E0,5.100000000E1
4.875536139E1,6.496605642E1,2.561513775E1,1.045266091E1,2.795959473E1,1.600000024E0,1.101999969E2,8.458905226E-2,3.790092468E0,2.500000000E0,5.000000000E1
4.975548024E1,6.496605003E1,2.561516834E1,1.034089524E1,2.784783936E1,1.620000005E0,1.134000015E2,8.611740885E-2,3.790092468E0,2.500000000E0,5.000000000E1
5.075538363E1,6.496604463E1,2.561519821E1,1.016608131E1,2.767303467E1,1.600000024E0,1.135000000E2,8.761446108E-2,3.790092468E0,2.500000000E0,5.100000000E1
5.175511081E1,6.496604028E1,2.561522832E1,1.025494021E1,2.776190186E1,1.539999962E0,1.093000031E2,8.920156738E-2,3.790092468E0,2.500000000E0,5.100000000E1
5.275597743E1,6.496603587E1,2.561526040E1,1.033970944E1,2.784667969E1,1.590000033E0,1.076999969E2,9.085344414E-2,3.790092468E0,2.500000000E0,5.200000000E1
5.375561904E1,6.496603136E1,2.561529385E1,1.040384849E1,2.791082764E1,1.580000043E0,1.081999969E2,9.247341893E-2,3.790092468E0,2.500000000E0,5.200000000E1
5.475537139E1,6.496602648E1,2.561532629E1,1.024624661E1,2.775323486E1,1.580000043E0,1.091999969E2,9.407544131E-2,3.790092468E0,2.500000000E0,5.200000000E1
5.575571836E1,6.496602149E1,2.561535823E1,1.043446989E1,2.794146729E1,1.559999943E0,1.085999985E2,9.571391593E-2,3.790092468E0,2.500000000E0,5.200000000E1
5.675527982E1,6.496601653E1,2.561539102E1,1.027570822E1,2.778271484E1,1.570000052E0,1.040000000E2,9.731625558E-2,3.790092468E0,2.500000000E0,5.100000000E1
5.775585664E1,6.496601184E1,2.561542322E1,1.028259630E1,2.778961182E1,1.610000014E0,1.071999969E2,9.883206601E-2,3.790092468E0,2.500000000E0,5.100000000E1
5.875568951E1,6.496600872E1,2.561545458E1,1.024309928E1,2.775012207E1,1.570000052E0,1.016999969E2,1.003902196E-1,3.790092468E0,2.500000000E0,5.100000000E1
5.975518800E1,6.496600612E1,2.561548712E1,1.026433257E1,2.777136230E1,1.559999943E0,1.015999985E2,1.018872516E-1,3.790092468E0,2.500000000E0,5.200000000E1
6.075596659E1,6.496600293E1,2.561551803E1,1.018223300E1,2.768927002E1,1.519999981E0,1.059000015E2,1.033838994E-1,3.790092468E0,2.500000000E0,5.200000000E1
6.175585560E1,6.496600063E1,2.561554937E1,1.018161616E1,2.768865967E1,1.529999971E0,1.049000015E2,1.048740798E-1,3.790092468E0,2.500000000E0,5.200000000E1
6.275576648E1,6.496599614E1,2.561557921E1,1.009713512E1,2.760418701E1,1.570000052E0,1.075999985E2,1.064859697E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.375607347E1,6.496599272E1,2.561561250E1,1.012379966E1,2.763085938E1,1.620000005E0,1.025000000E2,1.080487795E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.475597232E1,6.496599021E1,2.561564518E1,1.017603887E1,2.768310547E1,1.610000014E0,1.020999985E2,1.096213443E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.575535753E1,6.496598717E1,2.561567782E1,9.993536381E0,2.750061035E1,1.539999962E0,1.028000031E2,1.111745263E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.675510435E1,6.496598425E1,2.561571010E1,9.994200554E0,2.750128174E1,1.529999971E0,1.014000015E2,1.128278738E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.775607966E1,6.496598128E1,2.561574453E1,1.003832142E1,2.754541016E1,1.519999981E0,9.940000153E1,1.143577642E-1,3.790092468E0,2.500000000E0,5.300000000E1
6.875591607E1,6.496597754E1,2.561577582E1,1.020670955E1,2.771380615E1,1.500000000E0,1.020999985E2,1.158660932E-1,3.790092468E0,2.500000000E0,5.200000000E1
6.975566956E1,6.496597526E1,2.561580742E1,1.027848039E1,2.778558350E1,1.509999990E0,9.800000000E1,1.173579776E-1,3.790092468E0,2.500000000E0,5.200000000E1
7.075552331E1,6.496597359E1,2.561583888E1,1.032431188E1,2.783142090E1,1.529999971E0,1.000000000E2,1.188449036E-1,9.935046196E0,2.500000000E0,5.200000000E1
7.175569909E1,6.496597242E1,2.561587036E1,1.043960186E1,2.794671631E1,1.519999981E0,1.006999969E2,1.203715885E-1,9.935046196E0,2.500000000E0,5.200000000E1
7.275532133E1,6.496597142E1,2.561590272E1,1.045113212E1,2.795825195E1,1.539999962E0,9.909999847E1,1.218609199E-1,9.935046196E0,2.500000000E0,5.200000000E1
7.375536601E1,6.496597058E1,2.561593431E1,1.052790921E1,2.803503418E1,1.559999943E0,9.750000000E1,1.233615633E-1,9.935046196E0,2.500000000E0,5.000000000E1
7.475525008E1,6.496596839E1,2.561596578E1,1.039295408E1,2.790008545E1,1.529999971E0,1.010999985E2,1.248691516E-1,9.935046196E0,2.500000000E0,4.900000000E1
7.575538560E1,6.496596615E1,2.561599738E1,1.035187095E1,2.785900879E1,1.529999971E0,9.719999695E1,1.264011820E-1,9.935046196E0,2.500000000E0,4.900000000E1
7.675511549E1,6.496596483E1,2.561602979E1,1.025231690E1,2.775946045E1,1.509999990E0,9.609999847E1,1.279338687E-1,9.935046196E0,2.500000000E0,4.800000000E1
7.775577695E1,6.496596523E1,2.561606235E1,1.058910482E1,2.809625244E1,1.480000019E0,8.750000000E1,1.294692825E-1,9.935046196E0,2.500000000E0,2.200000000E1
7.875541799E1,6.496596537E1,2.561609498E1,1.067723524E1,2.818438721E1,1.539999962E0,9.259999847E1,1.309985253E-1,9.935046196E0,2.500000000E0,2.200000000E1
7.975548554E1,6.496596502E1,2.561612747E1,1.073100243E1,2.823815918E1,1.529999971E0,9.450000000E1,1.325189834E-1,9.935046196E0,2.500000000E0,4.300000000E1
8.075524549E1,6.496596462E1,2.561615977E1,1.057865387E1,2.808581543E1,1.580000043E0,9.490000153E1,1.339317504E-1,9.935046196E0,2.500000000E0,4.500000000E1
8.175533184E1,6.496596221E1,2.561618925E1,1.056949226E1,2.807666016E1,1.490000010E0,9.930000305E1,1.354830483E-1,9.935046196E0,2.500000000E0,4.800000000E1
8.275525273E1,6.496596010E1,2.561622184E1,1.078591644E1,2.829309082E1,1.590000033E0,9.659999847E1,1.370687441E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.375517335E1,6.496596004E1,2.561625554E1,1.106789418E1,2.857507324E1,1.580000043E0,8.859999847E1,1.386009014E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.475583200E1,6.496595906E1,2.561628802E1,1.075856263E1,2.826574707E1,1.610000014E0,9.200000000E1,1.401272758E-1,9.935046196E0,2.500000000E0,3.400000000E1
8.575536955E1,6.496595723E1,2.561632017E1,1.044312678E1,2.795031738E1,1.519999981E0,9.550000000E1,1.415854153E-1,9.935046196E0,2.500000000E0,4.900000000E1
8.675514153E1,6.496595649E1,2.561635111E1,1.033966725E1,2.784686279E1,1.500000000E0,9.390000153E1,1.431307102E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.775535783E1,6.496595635E1,2.561638395E1,1.024627882E1,2.775347900E1,1.509999990E0,9.130000305E1,1.446459630E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.875507694E1,6.496595596E1,2.561641614E1,1.035064416E1,2.785784912E1,1.509999990E0,9.030000305E1,1.460612193E-1,9.935046196E0,2.500000000E0,5.000000000E1
8.975526012E1,6.496595517E1,2.561644616E1,1.027342982E1,2.778063965E1,1.529999971E0,9.150000000E1,1.474793492E-1,9.935046196E0,2.500000000E0,5.000000000E1
9.075528330E1,6.496595461E1,2.561647627E1,1.019670396E1,2.770391846E1,1.529999971E0,8.980000305E1,1.489790484E-1,9.935046196E0,2.500000000E0,5.000000000E1
9.175601314E1,6.496595370E1,2.561650807E1,1.021134717E1,2.771856689E1,1.549999952E0,9.300000000E1,1.505725561E-1,9.935046196E0,2.500000000E0,5.000000000E1
9.275586580E1,6.496595201E1,2.561654170E1,1.020883851E1,2.771606445E1,1.570000052E0,9.519999695E1,1.521684936E-1,9.935046196E0,2.500000000E0,5.100000000E1
9.375565403E1,6.496595092E1,2.561657552E1,1.009799299E1,2.760522461E1,1.559999943E0,9.309999847E1,1.537317080E-1,9.935046196E0,2.500000000E0,5.100000000E1
9.475537621E1,6.496595013E1,2.561660869E1,1.033632997E1,2.784356689E1,1.590000033E0,9.180000305E1,1.552767032E-1,9.935046196E0,2.500000000E0,5.100000000E1
9.575515554E1,6.496594887E1,2.561664139E1,1.043977888E1,2.794702148E1,1.519999981E0,9.130000305E1,1.567945868E-1,9.935046196E0,2.500000000E0,5.200000000E1
9.675590257E1,6.496594765E1,2.561667352E1,1.053535436E1,2.804260254E1,1.470000029E0,9.209999847E1,1.583631446E-1,9.935046196E0,2.500000000E0,5.200000000E1
9.775584981E1,6.496594601E1,2.561670663E1,1.055042394E1,2.805767822E1,1.470000029E0,9.409999847E1,1.600246256E-1,9.935046196E0,2.500000000E0,5.200000000E1
9.875565522E1,6.496594463E1,2.561674179E1,1.044708529E1,2.795434570E1,1.480000019E0,9.200000000E1,1.615865628E-1,9.935046196E0,2.500000000E0,5.200000000E1
9.975557871E1,6.496594307E1,2.561677478E1,1.043249187E1,2.793975830E1,1.480000019E0,9.250000000E1,1.631252233E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.007551696E2,6.496594136E1,2.561680723E1,1.036913130E1,2.787640381E1,1.460000038E0,9.490000153E1,1.646460578E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.017556162E2,6.496593959E1,2.561683928E1,1.030534348E1,2.781262207E1,1.509999990E0,9.569999695E1,1.661236159E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.027558734E2,6.496593863E1,2.561687060E1,1.037729872E1,2.788458252E1,1.500000000E0,9.300000000E1,1.676695295E-1,9.935046196E0,2.500000000E0,5.200000000E1
1.037551734E2,6.496593917E1,2.561690343E1,1.027506085E1,2.778234863E1,1.490000010E0,8.890000153E1,1.692388489E-1,9.935046196E0,2.500000000E0,5.200000000E1
