"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
5.347625000E-2,6.496642610E1,2.561379970E1,1.899360249E1,NaN,NaN,1.513379974E2,2.222329712E1
7.542088600E-2,6.496642610E1,2.561379970E1,1.899360249E1,NaN,NaN,1.514920044E2,2.225409508E1
5.658609370E-1,6.496616034E1,2.561413469E1,5.234269640E0,1.129999995E0,1.720000076E1,3.790092468E0,2.500000000E0
2.036944114E0,6.496610967E1,2.561405773E1,5.943521344E0,0.000000000E0,0.000000000E0,3.814776659E0,4.618596554E0
2.607780103E0,6.496611015E1,2.561405721E1,6.025003807E0,0.000000000E0,NaN,3.932438612E0,4.618596554E0
3.608190467E0,6.496612949E1,2.561410973E1,6.731008734E0,0.000000000E0,0.000000000E0,3.790092468E0,3.653156519E0
4.607669269E0,6.496613833E1,2.561412478E1,6.663449197E0,0.000000000E0,0.000000000E0,3.790092468E0,2.992530346E0
5.607945415E0,6.496614620E1,2.561414281E1,6.481813618E0,0.000000000E0,0.000000000E0,3.790092468E0,2.500000000E0
6.607766039E0,6.496616523E1,2.561415496E1,6.726031787E0,1.960000038E0,2.600000000E1,3.790092468E0,2.500000000E0
7.607997185E0,6.496617413E1,2.561416709E1,9.185023000E0,1.340000033E0,5.379999924E1,3.790092468E0,2.500000000E0
8.608302601E0,6.496618390E1,2.561418971E1,1.019619866E1,1.299999952E0,7.819999695E1,3.790092468E0,2.500000000E0
9.608390361E0,6.496619101E1,2.561421606E1,1.070517401E1,1.269999981E0,9.000000000E1,3.790092468E0,2.500000000E0
1.060780036E1,6.496619332E1,2.561424290E1,1.082907391E1,1.370000005E0,1.011999969E2,3.790092468E0,2.500000000E0
1.160799395E1,6.496619170E1,2.561429912E1,1.084060031E1,1.450000048E0,1.109000015E2,3.790092468E0,2.500000000E0
1.260820869E1,6.496618698E1,2.561432815E1,1.077461282E1,1.460000038E0,1.131999969E2,3.790092468E0,2.500000000E0
1.360775291E1,6.496618191E1,2.561435728E1,1.045038524E1,1.460000038E0,1.144000015E2,3.790092468E0,2.500000000E0
1.460852572E1,6.496617708E1,2.561438484E1,1.062811123E1,1.330000043E0,1.136999969E2,3.790092468E0,2.500000000E0
1.560829619E1,6.496617263E1,2.561441409E1,1.038915034E1,1.360000014E0,1.139000015E2,3.790092468E0,2.500000000E0
1.660824145E1,6.496616750E1,2.561444125E1,1.017643420E1,1.340000033E0,1.163000031E2,3.790092468E0,2.500000000E0
1.760829921E1,6.496616208E1,2.561446842E1,1.017471632E1,1.350000024E0,1.169000015E2,3.790092468E0,2.500000000E0
1.860797530E1,6.496615591E1,2.561449541E1,1.022255829E1,1.370000005E0,1.166999969E2,3.790092468E0,2.500000000E0
1.960854989E1,6.496615016E1,2.561452516E1,1.006642079E1,1.399999976E0,1.163000031E2,3.790092468E0,2.500000000E0
2.060837051E1,6.496614590E1,2.561455347E1,1.013757984E1,1.370000005E0,1.143000031E2,3.790092468E0,2.500000000E0
2.160819228E1,6.496614139E1,2.561458244E1,9.955686796E0,1.409999967E0,1.110999985E2,3.790092468E0,2.500000000E0
2.260824359E1,6.496613604E1,2.561461120E1,9.659474134E0,1.409999967E0,1.115000000E2,3.790092468E0,2.500000000E0
2.360777161E1,6.496613235E1,2.561463864E1,9.566815484E0,1.429999948E0,1.149000015E2,3.790092468E0,2.500000000E0
2.460824718E1,6.496612742E1,2.561466491E1,9.382053759E0,1.399999976E0,1.144000015E2,3.790092468E0,2.500000000E0
2.560768593E1,6.496612189E1,2.561469002E1,9.450404412E0,1.360000014E0,1.163000031E2,3.790092468E0,2.500000000E0
2.660837884E1,6.496611580E1,2.561471515E1,9.268205211E0,1.370000005E0,1.195999985E2,3.790092468E0,2.500000000E0
2.760810858E1,6.496611030E1,2.561474168E1,8.852241734E0,1.379999995E0,1.168000031E2,3.790092468E0,2.500000000E0
2.860850983E1,6.496610547E1,2.561477115E1,8.506590994E0,1.409999967E0,1.120000000E2,3.790092468E0,2.500000000E0
2.960842634E1,6.496610155E1,2.561479780E1,8.426078228E0,1.379999995E0,1.144000015E2,3.790092468E0,2.500000000E0
3.060849890E1,6.496609603E1,2.561482557E1,8.145856749E0,1.429999948E0,1.150000000E2,3.790092468E0,2.500000000E0
3.160777285E1,6.496608950E1,2.561485366E1,8.058688460E0,1.399999976E0,1.144000015E2,3.790092468E0,2.500000000E0
3.260786900E1,6.496608222E1,2.561488093E1,8.314720251E0,1.419999957E0,1.156999969E2,3.790092468E0,2.500000000E0
3.360840733E1,6.496607556E1,2.561490626E1,8.134778779E0,1.399999976E0,1.141999969E2,3.790092468E0,2.500000000E0
3.460772634E1,6.496606957E1,2.561493261E1,8.229923256E0,1.379999995E0,1.153000031E2,3.790092468E0,2.500000000E0
3.560843020E1,6.496606435E1,2.561495927E1,8.428706121E0,1.389999986E0,1.115999985E2,3.790092468E0,2.500000000E0
3.660787332E1,6.496605820E1,2.561498320E1,7.944321968E0,1.419999957E0,1.171999969E2,3.790092468E0,2.500000000E0
3.760784103E1,6.496605196E1,2.561500929E1,7.840613702E0,1.429999948E0,1.141999969E2,3.790092468E0,2.500000000E0
3.860788342E1,6.496604629E1,2.561503844E1,7.820340620E0,1.460000038E0,1.121999969E2,3.790092468E0,2.500000000E0
3.960798050E1,6.496604224E1,2.561506729E1,7.650044713E0,1.409999967E0,1.093000031E2,3.790092468E0,2.500000000E0
4.060853150E1,6.496603899E1,2.561509836E1,7.309156004E0,1.409999967E0,1.059000015E2,3.790092468E0,2.500000000E0
4.160766571E1,6.496603475E1,2.561512613E1,7.660893755E0,1.440000057E0,1.095999985E2,3.790092468E0,2.500000000E0
4.260784238E1,6.496603023E1,2.561515420E1,7.771420259E0,1.419999957E0,1.116999969E2,3.790092468E0,2.500000000E0
4.360849530E1,6.496602581E1,2.561518335E1,7.677173761E0,1.429999948E0,1.086999969E2,3.790092468E0,2.500000000E0
4.460848410E1,6.496602231E1,2.561521205E1,7.675640607E0,1.429999948E0,1.070000000E2,3.790092468E0,2.500000000E0
4.560767910E1,6.496601847E1,2.561523834E1,7.565403844E0,1.440000057E0,1.066999969E2,3.790092468E0,2.500000000E0
4.660770884E1,6.496601565E1,2.561526785E1,7.470243298E0,1.460000038E0,1.045999985E2,3.790092468E0,2.500000000E0
4.760829847E1,6.496601134E1,2.561529731E1,7.670003211E0,1.450000048E0,1.116999969E2,3.790092468E0,2.500000000E0
4.860784258E1,6.496600809E1,2.561532901E1,7.599866368E0,1.440000057E0,1.074000015E2,3.790092468E0,2.500000000E0
4.960770207E1,6.496600442E1,2.561535955E1,7.616948521E0,1.460000038E0,1.080000000E2,3.790092468E0,2.500000000E0
5.060810430E1,6.496600137E1,2.561539076E1,7.672483323E0,1.450000048E0,1.038000031E2,3.790092468E0,2.500000000E0
5.160786477E1,6.496599800E1,2.561542080E1,7.530569249E0,1.429999948E0,1.065000000E2,3.790092468E0,2.500000000E0
5.260839498E1,6.496599470E1,2.561545141E1,7.420210340E0,1.429999948E0,1.050000000E2,3.790092468E0,2.500000000E0
5.360821649E1,6.496599119E1,2.561548123E1,7.564367939E0,1.419999957E0,1.051999969E2,3.790092468E0,2.500000000E0
5.460818555E1,6.496598830E1,2.561551171E1,7.599883463E0,1.399999976E0,1.035000000E2,3.790092468E0,2.500000000E0
5.560789665E1,6.496598561E1,2.561554230E1,7.559532463E0,1.440000057E0,1.038000031E2,3.790092468E0,2.500000000E0
5.660819175E1,6.496598349E1,2.561557146E1,7.438982008E0,1.379999995E0,1.019000015E2,3.790092468E0,2.500000000E0
5.760761201E1,6.496598053E1,2.561560124E1,7.572031740E0,1.379999995E0,1.040999985E2,3.790092468E0,2.500000000E0
5.860791217E1,6.496597818E1,2.561563236E1,7.626346520E0,1.419999957E0,9.990000153E1,3.790092468E0,2.500000000E0
5.960761878E1,6.496597498E1,2.561566207E1,7.572811559E0,1.409999967E0,1.020999985E2,3.790092468E0,2.500000000E0
6.060793170E1,6.496597308E1,2.561569164E1,7.768484403E0,1.379999995E0,1.018000031E2,3.790092468E0,2.500000000E0
6.160820961E1,6.496597040E1,2.561572148E1,7.792647675E0,1.429999948E0,1.030000000E2,3.790092468E0,2.500000000E0
6.260827227E1,6.496596867E1,2.561574884E1,7.763894715E0,1.370000005E0,9.980000305E1,3.790092468E0,2.500000000E0
6.360812347E1,6.496596589E1,2.561577784E1,7.826143944E0,1.419999957E0,1.029000015E2,3.790092468E0,2.500000000E0
6.460793810E1,6.496596227E1,2.561580583E1,7.732447685E0,1.460000038E0,1.056999969E2,3.790092468E0,2.500000000E0
6.560780503E1,6.496595986E1,2.561583242E1,8.105854824E0,1.389999986E0,1.034000015E2,3.790092468E0,2.500000000E0
6.660841289E1,6.496595777E1,2.561585979E1,8.364455034E0,1.440000057E0,9.890000153E1,3.790092468E0,2.500000000E0
6.760835388E1,6.496595611E1,2.561588718E1,8.551339343E0,1.379999995E0,9.919999695E1,3.790092468E0,2.500000000E0
6.860767638E1,6.496595427E1,2.561591423E1,8.963870499E0,1.370000005E0,9.669999695E1,3.790092468E0,2.500000000E0
6.960822898E1,6.496595291E1,2.561594487E1,9.283017833E0,1.429999948E0,9.559999847E1,3.790092468E0,2.500000000E0
7.060807883E1,6.496595275E1,2.561597339E1,9.290948342E0,1.419999957E0,9.119999695E1,3.790092468E0,2.500000000E0
7.160833201E1,6.496595200E1,2.561600217E1,9.465748369E0,1.370000005E0,9.180000305E1,3.790092468E0,2.500000000E0
7.260791055E1,6.496595148E1,2.561602942E1,9.344223142E0,1.360000014E0,9.380000305E1,3.790092468E0,2.500000000E0
7.360843846E1,6.496595050E1,2.561606039E1,9.139872259E0,1.429999948E0,9.609999847E1,9.935046196E0,2.500000000E0
7.460814508E1,6.496595034E1,2.561609036E1,8.793981768E0,1.419999957E0,9.209999847E1,9.935046196E0,2.500000000E0
7.560809867E1,6.496595008E1,2.561611942E1,9.052583495E0,1.379999995E0,9.490000153E1,9.935046196E0,2.500000000E0
7.660800893E1,6.496594929E1,2.561614720E1,8.932644851E0,1.360000014E0,9.730000305E1,9.935046196E0,2.500000000E0
7.760784487E1,6.496594774E1,2.561617519E1,8.708396370E0,1.399999976E0,9.909999847E1,9.935046196E0,2.500000000E0
7.860850877E1,6.496594659E1,2.561620092E1,8.752581199E0,1.320000052E0,9.790000153E1,9.935046196E0,2.500000000E0
7.960829377E1,6.496594719E1,2.561622990E1,8.802138348E0,1.389999986E0,9.119999695E1,9.935046196E0,2.500000000E0
8.060782492E1,6.496594704E1,2.561626083E1,8.785105157E0,1.460000038E0,9.100000000E1,9.935046196E0,2.500000000E0
8.160839846E1,6.496594647E1,2.561629028E1,8.948979971E0,1.409999967E0,9.200000000E1,9.935046196E0,2.500000000E0
8.260792429E1,6.496594492E1,2.561632073E1,8.934570021E0,1.419999957E0,9.269999695E1,9.935046196E0,2.500000000E0
8.360842611E1,6.496594362E1,2.561634871E1,9.132501956E0,1.429999948E0,9.480000305E1,9.935046196E0,2.500000000E0
8.460793887E1,6.496594340E1,2.561637953E1,9.189077112E0,1.480000019E0,9.130000305E1,9.935046196E0,2.500000000E0
8.560844216E1,6.496594237E1,2.561641014E1,9.214462558E0,1.409999967E0,9.230000305E1,9.935046196E0,2.500000000E0
8.660831346E1,6.496594160E1,2.561644102E1,9.074320872E0,1.389999986E0,9.200000000E1,9.935046196E0,2.500000000E0
8.760773752E1,6.496594136E1,2.561647245E1,8.981054616E0,1.409999967E0,8.969999695E1,9.935046196E0,2.500000000E0
8.860828174E1,6.496594020E1,2.561650494E1,8.941986555E0,1.409999967E0,9.250000000E1,9.935046196E0,2.500000000E0
8.960769096E1,6.496593848E1,2.561653586E1,8.722986534E0,1.379999995E0,9.619999695E1,9.935046196E0,2.500000000E0
9.060777497E1,6.496593658E1,2.561656630E1,8.730609941E0,1.360000014E0,9.700000000E1,9.935046196E0,2.500000000E0
9.160786747E1,6.496593563E1,2.561659711E1,8.713148756E0,1.350000024E0,9.380000305E1,9.935046196E0,2.500000000E0
9.260801830E1,6.496593514E1,2.561662718E1,8.511300905E0,1.330000043E0,9.240000153E1,9.935046196E0,2.500000000E0
9.360842121E1,6.496593481E1,2.561665864E1,8.556828505E0,1.419999957E0,9.100000000E1,9.935046196E0,2.500000000E0
9.460844543E1,6.496593328E1,2.561668892E1,8.554869769E0,1.409999967E0,9.590000153E1,9.935046196E0,2.500000000E0
9.560774038E1,6.496593142E1,2.561671842E1,8.569207210E0,1.389999986E0,9.680000305E1,9.935046196E0,2.500000000E0
9.660792689E1,6.496593150E1,2.561674764E1,8.653431798E0,1.360000014E0,9.000000000E1,9.935046196E0,2.500000000E0
9.760847850E1,6.496593178E1,2.561677488E1,8.460007922E0,1.379999995E0,9.019999695E1,9.935046196E0,2.500000000E0
9.860849220E1,6.496593249E1,2.561680151E1,8.449812080E0,1.340000033E0,8.690000153E1,9.935046196E0,2.500000000E0
9.960833283E1,6.496593116E1,2.561683056E1,8.386025090E0,1.389999986E0,9.340000153E1,9.935046196E0,2.500000000E0
1.006084235E2,6.496592988E1,2.561685987E1,8.329928541E0,1.389999986E0,9.300000000E1,9.935046196E0,2.500000000E0
1.016081727E2,6.496593083E1,2.561688951E1,8.235259860E0,1.389999986E0,8.950000000E1,9.935046196E0,2.500000000E0
1.026079167E2,6.496593045E1,2.561692066E1,7.951441752E0,1.429999948E0,9.290000153E1,9.935046196E0,2.500000000E0
1.036078660E2,6.496593047E1,2.561695055E1,8.026449882E0,1.440000057E0,9.019999695E1,9.935046196E0,2.500000000E0
1.046077668E2,6.496592974E1,2.561698178E1,7.996110432E0,1.429999948E0,9.340000153E1,9.935046196E0,2.500000000E0
1.056077429E2,6.496592969E1,2.561701016E1,7.831433643E0,1.370000005E0,9.180000305E1,9.935046196E0,2.500000000E0
1.066079041E2,6.496592917E1,2.561703712E1,7.889779061E0,1.379999995E0,9.369999695E1,9.935046196E0,2.500000000E0
1.076084920E2,6.496592995E1,2.561706577E1,7.801030763E0,1.419999957E0,8.890000153E1,9.935046196E0,2.500000000E0
1.086081408E2,6.496593077E1,2.561709549E1,7.888185677E0,1.409999967E0,8.950000000E1,9.935046196E0,2.500000000E0
1.096082658E2,6.496593080E1,2.561712656E1,7.817319632E0,1.440000057E0,9.200000000E1,9.935046196E0,2.500000000E0
1.106078599E2,6.496593069E1,2.561715667E1,7.586053193E0,1.399999976E0,9.069999695E1,9.935046196E0,2.500000000E0
1.116082338E2,6.496593085E1,2.561718493E1,7.867543614E0,1.429999948E0,8.980000305E1,9.935046196E0,2.500000000E0
1.126079462E2,6.496593101E1,2.561721629E1,8.185166423E0,1.429999948E0,8.959999847E1,9.935046196E0,2.500000000E0
1.136084545E2,6.496592922E1,2.561724639E1,8.242533633E0,1.440000057E0,9.450000000E1,9.935046196E0,2.500000000E0
1.146081470E2,6.496592837E1,2.561727499E1,8.499120698E0,1.470000029E0,9.250000000E1,9.935046196E0,2.500000000E0
1.156084146E2,6.496592783E1,2.561730595E1,8.710297580E0,1.509999990E0,9.159999847E1,9.935046196E0,2.500000000E0
1.166085084E2,6.496592717E1,2.561733719E1,8.737941594E0,1.460000038E0,9.009999847E1,9.935046196E0,2.500000000E0
1.176077039E2,6.496592598E1,2.561736926E1,8.653646510E0,1.500000000E0,9.400000000E1,9.935046196E0,2.500000000E0
1.186080212E2,6.496592619E1,2.561740130E1,8.559648180E0,1.509999990E0,8.850000000E1,9.935046196E0,2.500000000E0
1.196077654E2,6.496592599E1,2.561743375E1,8.485607897E0,1.519999981E0,9.000000000E1,9.935046196E0,2.500000000E0
1.206084244E2,6.496592606E1,2.561746609E1,8.407783708E0,1.500000000E0,8.950000000E1,9.935046196E0,2.500000000E0
1.216079041E2,6.496592591E1,2.561749880E1,8.312014922E0,1.529999971E0,9.040000153E1,9.935046196E0,2.500000000E0
1.226083109E2,6.496592508E1,2.561753140E1,8.261899798E0,1.529999971E0,9.280000305E1,9.935046196E0,2.500000000E0
1.236084890E2,6.496592451E1,2.561756435E1,8.251213585E0,1.519999981E0,9.240000153E1,9.935046196E0,2.500000000E0
1.246081315E2,6.496592329E1,2.561759738E1,8.164415900E0,1.559999943E0,9.490000153E1,9.935046196E0,2.500000000E0
1.256081869E2,6.496592239E1,2.561762998E1,8.189862232E0,1.580000043E0,9.380000305E1,9.935046196E0,2.500000000E0
1.266078789E2,6.496592157E1,2.561766648E1,8.134985840E0,1.620000005E0,9.300000000E1,9.935046196E0,2.500000000E0
1.276079792E2,6.496592063E1,2.561770091E1,7.954987547E0,1.590000033E0,9.040000153E1,9.935046196E0,2.500000000E0
1.286078097E2,6.496592006E1,2.561773567E1,7.940761047E0,1.600000024E0,9.000000000E1,9.935046196E0,2.500000000E0
1.296085268E2,6.496591867E1,2.561777060E1,7.828816455E0,1.629999995E0,9.350000000E1,9.935046196E0,2.500000000E0
1.306081887E2,6.496591833E1,2.561780548E1,7.757339182E0,1.600000024E0,9.090000153E1,9.935046196E0,2.500000000E0
1.316084235E2,6.496591808E1,2.561784090E1,7.787851667E0,1.620000005E0,9.069999695E1,9.935046196E0,2.500000000E0
1.326081652E2,6.496591876E1,2.561787638E1,7.584051068E0,1.600000024E0,8.769999695E1,9.935046196E0,2.500000000E0
1.336084557E2,6.496591857E1,2.561791193E1,7.625244745E0,1.610000014E0,8.950000000E1,9.935046196E0,2.500000000E0
1.346079009E2,6.496591849E1,2.561794781E1,7.504023931E0,1.610000014E0,9.009999847E1,9.935046196E0,2.500000000E0
1.356083118E2,6.496591814E1,2.561798498E1,7.438283639E0,1.620000005E0,9.180000305E1,9.935046196E0,2.500000000E0
1.366078417E2,6.496591721E1,2.561802172E1,7.458053106E0,1.629999995E0,9.350000000E1,9.935046196E0,2.500000000E0
1.376082948E2,6.496591773E1,2.561805672E1,7.386637674E0,1.629999995E0,8.969999695E1,9.935046196E0,2.500000000E0
1.386085816E2,6.496591761E1,2.561809199E1,7.349523350E0,1.659999967E0,9.130000305E1,9.935046196E0,2.500000000E0
1.396077435E2,6.496591725E1,2.561812828E1,7.369415494E0,1.690000057E0,9.180000305E1,9.935046196E0,2.500000000E0
1.406080645E2,6.496591737E1,2.561816349E1,7.154994279E0,1.620000005E0,9.000000000E1,9.935046196E0,2.500000000E0
1.416083969E2,6.496591719E1,2.561819928E1,7.094015081E0,1.649999976E0,9.140000153E1,9.935046196E0,2.500000000E0
1.426081436E2,6.496591646E1,2.561823458E1,7.155838159E0,1.629999995E0,9.269999695E1,9.935046196E0,2.500000000E0
1.436078606E2,6.496591710E1,2.561827044E1,7.094615595E0,1.659999967E0,8.869999695E1,9.935046196E0,2.500000000E0
1.446081671E2,6.496591694E1,2.561830637E1,7.010809248E0,1.649999976E0,9.069999695E1,9.935046196E0,2.500000000E0
1.456085350E2,6.496591729E1,2.561834142E1,7.140077241E0,1.639999986E0,8.990000153E1,9.935046196E0,2.500000000E0
1.466079933E2,6.496591599E1,2.561837688E1,7.388667329E0,1.649999976E0,9.430000305E1,9.935046196E0,2.500000000E0
1.476079569E2,6.496591528E1,2.561841270E1,6.973866820E0,1.639999986E0,9.159999847E1,9.935046196E0,2.500000000E0
1.486084813E2,6.496591429E1,2.561844981E1,6.909224557E0,1.720000029E0,9.190000153E1,9.935046196E0,2.500000000E0
1.496076761E2,6.496591277E1,2.561848657E1,6.809425585E0,1.720000029E0,9.300000000E1,9.935046196E0,2.500000000E0
1.506082112E2,6.496591168E1,2.561852187E1,6.714998318E0,1.659999967E0,9.400000000E1,9.935046196E0,2.500000000E0
1.516084067E2,6.496591078E1,2.561855636E1,6.639553277E0,1.669999957E0,9.390000153E1,9.935046196E0,2.500000000E0
1.526083940E2,6.496590936E1,2.561858934E1,6.897604040E0,1.669999957E0,9.380000305E1,9.935046196E0,2.500000000E0
1.536078850E2,6.496590835E1,2.561862078E1,6.956314586E0,1.649999976E0,9.200000000E1,9.935046196E0,2.500000000E0
