"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.546084135E2,6.496590700E1,2.561865313E1,7.031260033E0,1.679999948E0,9.209999847E1,9.935046196E0,2.500000000E0
1.556083750E2,6.496590729E1,2.561868483E1,7.492620712E0,1.659999967E0,8.790000153E1,9.935046196E0,2.500000000E0
1.566084382E2,6.496590635E1,2.561871666E1,7.484558810E0,1.659999967E0,9.400000000E1,9.935046196E0,2.500000000E0
1.576082540E2,6.496590490E1,2.561874835E1,8.072016459E0,1.669999957E0,9.530000305E1,9.935046196E0,2.500000000E0
1.586079164E2,6.496590285E1,2.561878256E1,8.032947310E0,1.639999986E0,9.719999695E1,9.935046196E0,2.500000000E0
1.596077397E2,6.496590124E1,2.561881620E1,8.204266843E0,1.679999948E0,9.409999847E1,9.935046196E0,2.500000000E0
1.606084512E2,6.496590017E1,2.561884885E1,8.226966423E0,1.659999967E0,9.409999847E1,9.935046196E0,2.500000000E0
1.616080469E2,6.496589957E1,2.561888325E1,8.381319045E0,1.659999967E0,9.380000305E1,9.935046196E0,2.500000000E0
1.626076544E2,6.496589785E1,2.561891779E1,8.534022627E0,1.679999948E0,9.959999847E1,9.935046196E0,2.500000000E0
1.636081384E2,6.496589541E1,2.561895209E1,8.573993620E0,1.639999986E0,9.859999847E1,9.935046196E0,2.500000000E0
1.646077360E2,6.496589302E1,2.561898685E1,8.516796628E0,1.679999948E0,9.969999695E1,9.935046196E0,2.500000000E0
1.656079176E2,6.496589038E1,2.561902088E1,8.838322642E0,1.669999957E0,1.000000000E2,9.935046196E0,2.500000000E0
1.666076836E2,6.496588779E1,2.561905402E1,8.505429881E0,1.649999976E0,1.005000000E2,9.935046196E0,2.500000000E0
1.676078816E2,6.496588581E1,2.561908715E1,8.370474716E0,1.679999948E0,1.005999985E2,9.935046196E0,2.500000000E0
1.686081692E2,6.496588333E1,2.561911968E1,8.602950795E0,1.629999995E0,1.009000015E2,9.935046196E0,2.500000000E0
1.696077126E2,6.496588078E1,2.561915581E1,8.490028365E0,1.659999967E0,1.011999969E2,9.935046196E0,2.500000000E0
1.706082910E2,6.496587723E1,2.561918933E1,8.296722035E0,1.679999948E0,1.041999969E2,9.935046196E0,2.500000000E0
1.716076598E2,6.496587474E1,2.561922295E1,8.126487994E0,1.679999948E0,1.008000031E2,9.935046196E0,2.500000000E0
1.726079792E2,6.496587209E1,2.561925718E1,8.040177057E0,1.679999948E0,1.040999985E2,9.935046196E0,2.500000000E0
1.736085585E2,6.496586819E1,2.561929154E1,8.346504066E0,1.720000029E0,1.054000015E2,9.935046196E0,2.500000000E0
1.746083351E2,6.496586515E1,2.561932548E1,8.356262131E0,1.649999976E0,1.041999969E2,9.935046196E0,2.500000000E0
1.756079842E2,6.496586176E1,2.561935993E1,8.253837174E0,1.639999986E0,1.029000015E2,9.935046196E0,2.500000000E0
1.766081121E2,6.496585901E1,2.561939469E1,8.346114935E0,1.610000014E0,9.990000153E1,9.935046196E0,2.500000000E0
1.776085002E2,6.496585471E1,2.561942903E1,8.400976720E0,1.639999986E0,1.064000015E2,9.935046196E0,2.500000000E0
1.786080139E2,6.496585109E1,2.561946364E1,8.414518318E0,1.679999948E0,1.031999969E2,9.935046196E0,2.500000000E0
1.796078326E2,6.496584832E1,2.561949757E1,8.544271759E0,1.669999957E0,1.045000000E2,9.935046196E0,2.500000000E0
1.806082985E2,6.496584434E1,2.561953309E1,8.385449606E0,1.679999948E0,1.064000015E2,9.935046196E0,2.500000000E0
1.816084796E2,6.496584090E1,2.561956873E1,8.394291528E0,1.649999976E0,1.015999985E2,3.790092468E0,2.500000000E0
1.826085161E2,6.496583725E1,2.561960703E1,8.899592844E0,1.659999967E0,1.034000015E2,3.790092468E0,2.500000000E0
1.836084499E2,6.496583382E1,2.561964301E1,8.761217932E0,1.690000057E0,1.048000031E2,3.790092468E0,2.500000000E0
1.846084820E2,6.496583051E1,2.561967902E1,8.861490591E0,1.659999967E0,1.011999969E2,3.790092468E0,2.500000000E0
1.856077290E2,6.496582658E1,2.561971124E1,9.081636223E0,1.649999976E0,1.036999969E2,3.790092468E0,2.500000000E0
1.866084236E2,6.496582234E1,2.561974489E1,8.907250112E0,1.649999976E0,1.028000031E2,3.790092468E0,2.500000000E0
1.876083643E2,6.496581876E1,2.561977696E1,8.711990826E0,1.639999986E0,1.046999969E2,3.790092468E0,2.500000000E0
1.886078918E2,6.496581442E1,2.561981120E1,8.648993699E0,1.700000048E0,1.068000031E2,3.790092468E0,2.500000000E0
1.896085387E2,6.496581148E1,2.561984556E1,8.468688324E0,1.659999967E0,1.061999969E2,3.790092468E0,2.500000000E0
1.906078406E2,6.496580822E1,2.561987709E1,8.371879125E0,1.620000005E0,1.071999969E2,3.790092468E0,2.500000000E0
1.916081319E2,6.496580572E1,2.561991046E1,8.522323819E0,1.649999976E0,1.035999985E2,3.790092468E0,2.500000000E0
1.926080149E2,6.496580224E1,2.561994220E1,8.387733618E0,1.620000005E0,1.039000015E2,3.790092468E0,2.500000000E0
1.936079169E2,6.496579923E1,2.561997285E1,8.480927220E0,1.590000033E0,1.034000015E2,3.790092468E0,2.500000000E0
1.946079367E2,6.496579574E1,2.562000651E1,8.519554520E0,1.659999967E0,1.049000015E2,3.790092468E0,2.500000000E0
1.956082472E2,6.496579252E1,2.562004167E1,8.648697010E0,1.659999967E0,1.039000015E2,3.790092468E0,2.500000000E0
1.966079830E2,6.496578924E1,2.562007722E1,8.301826205E0,1.679999948E0,1.030000000E2,3.790092468E0,2.500000000E0
1.976083497E2,6.496578611E1,2.562010896E1,8.204956066E0,1.649999976E0,1.025000000E2,3.790092468E0,2.500000000E0
1.986083250E2,6.496578352E1,2.562014217E1,8.230827941E0,1.620000005E0,1.028000031E2,3.790092468E0,2.500000000E0
1.996080541E2,6.496577986E1,2.562017482E1,8.357345842E0,1.590000033E0,1.084000015E2,3.790092468E0,2.500000000E0
2.006078697E2,6.496577408E1,2.562020514E1,8.054235568E0,1.559999943E0,1.199000015E2,3.790092468E0,2.500000000E0
2.016082538E2,6.496576491E1,2.562022300E1,7.865991923E0,1.409999967E0,1.476000061E2,3.790092468E0,2.500000000E0
2.026079264E2,6.496575124E1,2.562022370E1,7.312878159E0,1.559999943E0,1.761999969E2,3.790092468E0,2.500000000E0
2.036078802E2,6.496573748E1,2.562021549E1,6.741332914E0,1.639999986E0,1.886999969E2,3.790092468E0,2.500000000E0
2.046084996E2,6.496572407E1,2.562020051E1,6.626026725E0,1.679999948E0,1.968999939E2,3.790092468E0,2.500000000E0
2.056084721E2,6.496571073E1,2.562018910E1,6.806618551E0,1.649999976E0,1.951000061E2,3.790092468E0,2.500000000E0
2.066085685E2,6.496569649E1,2.562018124E1,6.571376510E0,1.720000029E0,1.928000031E2,3.790092468E0,2.500000000E0
2.076082001E2,6.496568160E1,2.562017211E1,6.552015368E0,1.809999943E0,1.943000031E2,3.790092468E0,2.500000000E0
2.086079307E2,6.496566612E1,2.562016218E1,6.397949182E0,1.899999976E0,1.951000061E2,3.790092468E0,2.500000000E0
2.096085456E2,6.496564968E1,2.562015055E1,6.081650865E0,2.019999981E0,1.956999969E2,3.790092468E0,2.500000000E0
2.106083261E2,6.496563282E1,2.562013863E1,5.966768202E0,2.009999990E0,1.950000000E2,3.790092468E0,2.500000000E0
2.116082628E2,6.496561589E1,2.562012667E1,5.868670146E0,2.019999981E0,1.950000000E2,3.790092468E0,2.500000000E0
2.126077321E2,6.496559927E1,2.562011516E1,5.586978574E0,1.980000019E0,1.948000031E2,3.790092468E0,2.500000000E0
2.136077924E2,6.496558244E1,2.562010461E1,5.309803272E0,1.980000019E0,1.921000061E2,3.790092468E0,2.500000000E0
2.146079197E2,6.496556587E1,2.562009589E1,5.068943885E0,1.929999948E0,1.916999969E2,3.790092468E0,2.500000000E0
2.156076386E2,6.496554935E1,2.562008943E1,4.951009041E0,1.879999995E0,1.901000061E2,3.790092468E0,2.500000000E0
2.166084414E2,6.496553324E1,2.562008128E1,4.755621208E0,1.850000024E0,1.930000000E2,3.790092468E0,2.500000000E0
2.176079591E2,6.496551674E1,2.562007321E1,4.547049397E0,1.860000014E0,1.923000031E2,3.790092468E0,2.500000000E0
2.186079801E2,6.496550059E1,2.562006470E1,4.349647415E0,1.840000033E0,1.931999969E2,3.790092468E0,2.500000000E0
2.196084484E2,6.496548381E1,2.562005697E1,4.377098239E0,1.820000052E0,1.936000061E2,3.790092468E0,2.500000000E0
2.206082421E2,6.496546761E1,2.562004956E1,4.117745375E0,1.850000024E0,1.930000000E2,3.790092468E0,2.500000000E0
2.216078205E2,6.496545148E1,2.562004086E1,3.897821466E0,1.870000005E0,1.946000061E2,3.790092468E0,2.500000000E0
2.226080224E2,6.496543581E1,2.562003369E1,3.869548178E0,1.820000052E0,1.926999969E2,3.790092468E0,2.500000000E0
2.236077430E2,6.496541959E1,2.562002513E1,3.748623187E0,1.820000052E0,1.926999969E2,3.790092468E0,2.500000000E0
2.246082397E2,6.496540385E1,2.562001578E1,3.817457065E0,1.799999952E0,1.953000031E2,3.790092468E0,2.500000000E0
2.256080343E2,6.496538802E1,2.562000554E1,3.868773889E0,1.809999943E0,1.951000061E2,3.790092468E0,2.500000000E0
2.266081760E2,6.496537138E1,2.561999635E1,3.728195262E0,1.860000014E0,1.936000061E2,3.790092468E0,2.500000000E0
2.276078496E2,6.496535516E1,2.561998635E1,3.535493126E0,1.850000024E0,1.946000061E2,3.790092468E0,2.500000000E0
2.286077381E2,6.496533867E1,2.561997698E1,3.612138789E0,1.870000005E0,1.931000061E2,3.790092468E0,2.500000000E0
2.296081591E2,6.496532189E1,2.561996759E1,3.604494627E0,1.889999986E0,1.941000061E2,3.790092468E0,2.500000000E0
2.306079828E2,6.496530513E1,2.561995638E1,3.780261378E0,1.970000029E0,1.948000031E2,3.790092468E0,2.500000000E0
2.316079333E2,6.496528864E1,2.561994359E1,3.676304484E0,1.990000010E0,1.963000031E2,3.790092468E0,2.500000000E0
2.326078884E2,6.496527209E1,2.561993333E1,3.621968767E0,1.909999967E0,1.940000000E2,3.790092468E0,2.500000000E0
2.336084151E2,6.496525521E1,2.561992405E1,3.287603303E0,1.960000038E0,1.930000000E2,3.790092468E0,2.500000000E0
2.346083385E2,6.496523888E1,2.561991548E1,3.325735826E0,1.889999986E0,1.935000000E2,3.790092468E0,2.500000000E0
2.356079728E2,6.496522236E1,2.561990655E1,3.364722710E0,1.879999995E0,1.951000061E2,3.790092468E0,2.500000000E0
2.366076124E2,6.496520674E1,2.561988988E1,3.522119720E0,1.820000052E0,2.056999969E2,3.790092468E0,2.500000000E0
2.376081100E2,6.496519302E1,2.561986234E1,3.688675314E0,1.879999995E0,2.201999969E2,3.790092468E0,2.500000000E0
2.386082283E2,6.496518222E1,2.561982688E1,3.739573169E0,1.899999976E0,2.336000061E2,3.790092468E0,2.500000000E0
2.396078978E2,6.496517336E1,2.561978978E1,3.677252890E0,1.870000005E0,2.380000000E2,3.790092468E0,2.500000000E0
2.406079651E2,6.496516596E1,2.561975230E1,3.723149392E0,1.860000014E0,2.416999969E2,3.790092468E0,2.500000000E0
2.416083396E2,6.496515895E1,2.561971356E1,3.635928766E0,1.879999995E0,2.436000061E2,3.790092468E0,2.500000000E0
2.426083376E2,6.496515163E1,2.561967432E1,3.688173243E0,1.919999957E0,2.428000031E2,3.790092468E0,2.500000000E0
2.436080875E2,6.496514629E1,2.561963358E1,3.624880270E0,1.909999967E0,2.496999969E2,3.790092468E0,2.500000000E0
2.446077539E2,6.496514337E1,2.561959074E1,3.767766659E0,1.950000048E0,2.596000061E2,3.790092468E0,2.500000000E0
2.456093658E2,6.496514366E1,2.561954860E1,3.819835710E0,1.889999986E0,2.698999939E2,3.790092468E0,2.500000000E0
2.476093647E2,6.496514806E1,2.561946598E1,3.843777044E0,1.950000048E0,2.760000000E2,3.790092468E0,2.500000000E0
2.486086761E2,6.496515031E1,2.561942507E1,3.937778954E0,1.929999948E0,2.752999878E2,3.790092468E0,2.500000000E0
2.496093638E2,6.496515190E1,2.561938460E1,3.918010640E0,1.960000038E0,2.746000061E2,3.790092468E0,2.500000000E0
2.506091746E2,6.496515438E1,2.561934512E1,3.970386597E0,1.919999957E0,2.772999878E2,3.790092468E0,2.500000000E0
2.516088742E2,6.496515900E1,2.561930452E1,3.981382919E0,1.950000048E0,2.821000061E2,3.790092468E0,2.500000000E0
2.526087815E2,6.496516330E1,2.561926443E1,4.109383259E0,1.929999948E0,2.832999878E2,3.790092468E0,2.500000000E0
2.536090775E2,6.496516674E1,2.561922506E1,3.970048693E0,1.919999957E0,2.811000061E2,3.790092468E0,2.500000000E0
2.546093021E2,6.496516969E1,2.561918409E1,3.911463390E0,1.940000057E0,2.807999878E2,3.790092468E0,2.500000000E0
2.556093869E2,6.496517297E1,2.561914438E1,3.911716120E0,1.919999957E0,2.816000061E2,3.790092468E0,2.500000000E0
2.566086654E2,6.496517657E1,2.561910462E1,3.808087327E0,1.940000057E0,2.822000122E2,3.790092468E0,2.500000000E0
2.576086108E2,6.496518041E1,2.561906535E1,3.892752153E0,1.889999986E0,2.813999939E2,3.790092468E0,2.500000000E0
2.586090275E2,6.496518378E1,2.561902525E1,3.657165178E0,1.919999957E0,2.803999939E2,3.790092468E0,2.500000000E0
2.596087287E2,6.496518705E1,2.561898530E1,3.513863244E0,1.919999957E0,2.816000061E2,3.790092468E0,2.500000000E0
2.606094185E2,6.496519069E1,2.561894606E1,3.431474651E0,1.929999948E0,2.823999939E2,3.790092468E0,2.500000000E0
2.616089551E2,6.496519484E1,2.561890792E1,3.398463837E0,1.879999995E0,2.837000122E2,3.790092468E0,2.500000000E0
2.626085995E2,6.496519928E1,2.561886952E1,3.375890348E0,1.909999967E0,2.837000122E2,3.790092468E0,2.500000000E0
2.636087634E2,6.496520280E1,2.561883058E1,2.968428357E0,1.909999967E0,2.805000000E2,3.790092468E0,2.500000000E0
2.646089245E2,6.496520730E1,2.561879222E1,2.721001403E0,1.909999967E0,2.822000122E2,3.790092468E0,2.500000000E0
2.656094710E2,6.496521246E1,2.561875576E1,2.831729117E0,1.879999995E0,2.840000000E2,3.790092468E0,2.500000000E0
2.666094704E2,6.496521652E1,2.561871728E1,2.816723634E0,1.929999948E0,2.842000122E2,3.790092468E0,2.500000000E0
2.676089780E2,6.496522034E1,2.561867865E1,2.785787766E0,1.909999967E0,2.838999939E2,3.790092468E0,2.500000000E0
2.686089310E2,6.496522301E1,2.561863969E1,2.672148207E0,1.840000033E0,2.805000000E2,3.790092468E0,2.500000000E0
2.696088115E2,6.496522630E1,2.561859917E1,2.808326350E0,1.850000024E0,2.827000122E2,3.790092468E0,2.500000000E0
2.706093323E2,6.496522998E1,2.561855948E1,2.765915884E0,1.850000024E0,2.832000122E2,3.790092468E0,2.500000000E0
2.716091562E2,6.496523333E1,2.561851897E1,2.671442226E0,1.909999967E0,2.817000122E2,3.790092468E0,2.500000000E0
2.726093169E2,6.496523533E1,2.561848093E1,2.762635884E0,1.850000024E0,2.797000122E2,3.790092468E0,2.500000000E0
2.736089287E2,6.496523665E1,2.561844110E1,3.001656286E0,1.889999986E0,2.780000000E2,3.790092468E0,2.500000000E0
2.746087452E2,6.496523858E1,2.561840120E1,3.069595737E0,1.879999995E0,2.772999878E2,3.790092468E0,2.500000000E0
2.756091039E2,6.496524029E1,2.561835955E1,2.990745668E0,1.899999976E0,2.765000000E2,3.790092468E0,2.500000000E0
2.766092614E2,6.496524227E1,2.561832012E1,3.086883344E0,1.850000024E0,2.777000122E2,3.790092468E0,2.500000000E0
2.776095402E2,6.496524402E1,2.561828100E1,3.075598884E0,1.850000024E0,2.757000122E2,3.790092468E0,2.500000000E0
2.786093875E2,6.496524586E1,2.561824028E1,3.380171662E0,1.830000043E0,2.757000122E2,3.790092468E0,2.500000000E0
2.796092887E2,6.496524802E1,2.561819883E1,3.362357152E0,1.909999967E0,2.752000122E2,3.790092468E0,2.500000000E0
2.806088842E2,6.496524917E1,2.561815821E1,3.501462948E0,1.879999995E0,2.743999939E2,3.790092468E0,2.500000000E0
2.816095321E2,6.496525038E1,2.561811833E1,3.605656591E0,1.870000005E0,2.738999939E2,3.790092468E0,2.500000000E0
2.826090231E2,6.496525189E1,2.561807801E1,3.514477046E0,1.870000005E0,2.741000061E2,3.790092468E0,2.500000000E0
2.836094994E2,6.496525320E1,2.561803789E1,3.466876383E0,1.870000005E0,2.733999939E2,3.790092468E0,2.500000000E0
2.846089933E2,6.496525343E1,2.561799896E1,3.444787220E0,1.840000033E0,2.711000061E2,3.790092468E0,2.500000000E0
2.856086157E2,6.496525317E1,2.561796058E1,3.287016360E0,1.830000043E0,2.697999878E2,3.790092468E0,2.500000000E0
2.866086333E2,6.496525320E1,2.561792114E1,3.345676588E0,1.850000024E0,2.697999878E2,3.790092468E0,2.500000000E0
2.876090736E2,6.496525258E1,2.561788127E1,3.302651682E0,1.840000033E0,2.677999878E2,3.790092468E0,2.500000000E0
2.886089341E2,6.496525288E1,2.561784021E1,3.443465710E0,1.929999948E0,2.713999939E2,3.790092468E0,2.500000000E0
2.896085872E2,6.496525312E1,2.561779960E1,3.353566729E0,1.929999948E0,2.702999878E2,3.790092468E0,2.500000000E0
2.906090679E2,6.496525335E1,2.561776042E1,3.439021545E0,1.830000043E0,2.686000061E2,3.790092468E0,2.500000000E0
2.916094764E2,6.496525371E1,2.561772003E1,3.536683683E0,1.870000005E0,2.710000000E2,3.790092468E0,2.500000000E0
2.926090387E2,6.496525346E1,2.561768171E1,3.453558821E0,1.830000043E0,2.692999878E2,3.790092468E0,2.500000000E0
2.936089778E2,6.496525291E1,2.561764432E1,3.649425244E0,1.799999952E0,2.675000000E2,3.790092468E0,2.500000000E0
2.946093587E2,6.496525147E1,2.561760602E1,3.820327561E0,1.820000052E0,2.657000122E2,3.790092468E0,2.500000000E0
2.956089756E2,6.496524819E1,2.561756720E1,3.900407879E0,1.899999976E0,2.595000000E2,3.790092468E0,2.500000000E0
2.966084753E2,6.496524526E1,2.561752963E1,4.206196367E0,1.799999952E0,2.617000122E2,3.790092468E0,2.500000000E0
2.976086333E2,6.496524124E1,2.561749178E1,4.245504360E0,1.870000005E0,2.577999878E2,3.790092468E0,2.500000000E0
2.986088061E2,6.496523701E1,2.561745422E1,4.303549905E0,1.860000014E0,2.555000000E2,3.790092468E0,2.500000000E0
2.996094618E2,6.496523301E1,2.561741679E1,4.502586863E0,1.809999943E0,2.581000061E2,3.790092468E0,2.500000000E0
3.006087981E2,6.496522894E1,2.561737927E1,4.547998278E0,1.840000033E0,2.566000061E2,3.790092468E0,2.500000000E0
3.016094783E2,6.496522486E1,2.561734205E1,4.861231909E0,1.860000014E0,2.570000000E2,3.790092468E0,2.500000000E0
3.026094158E2,6.496522113E1,2.561730604E1,5.067287973E0,1.809999943E0,2.572999878E2,3.790092468E0,2.500000000E0
3.036090428E2,6.496521628E1,2.561726833E1,4.931546325E0,1.879999995E0,2.531999969E2,3.790092468E0,2.500000000E0
3.046086608E2,6.496521143E1,2.561723210E1,4.765408967E0,1.840000033E0,2.500000000E2,3.790092468E0,2.500000000E0
3.056094692E2,6.496520718E1,2.561719371E1,4.796538104E0,1.889999986E0,2.541999969E2,3.790092468E0,2.500000000E0
3.066093837E2,6.496520155E1,2.561715797E1,5.013944854E0,1.850000024E0,2.508999939E2,3.790092468E0,2.500000000E0
3.076084675E2,6.496519740E1,2.561712331E1,5.329863614E0,1.840000033E0,2.505000000E2,3.790092468E0,2.500000000E0
3.086088489E2,6.496519188E1,2.561708984E1,5.416899064E0,1.820000052E0,2.458000031E2,3.790092468E0,2.500000000E0
3.096094007E2,6.496518401E1,2.561705685E1,5.275111402E0,1.779999971E0,2.388999939E2,3.790092468E0,2.500000000E0
3.106086416E2,6.496517549E1,2.561702202E1,5.156089484E0,1.840000033E0,2.393999939E2,3.790092468E0,2.500000000E0
3.116091221E2,6.496516599E1,2.561699025E1,5.285784472E0,1.779999971E0,2.371000061E2,3.790092468E0,2.500000000E0
